Ind	Female	Male
1000	0	0
1001	1000	MS_1
1002	1000	MS_2
1003	1000	MS_3
1004	1000	MS_4
1005	0	0
1006	1005	MS_1
1007	1005	MS_2
1008	1005	MS_4
1009	0	0
1010	1009	MS_1
1011	1009	MS_2
1012	1009	MS_3
1013	1009	MS_4
1014	0	0
1015	1014	MS_1
1016	1014	MS_2
1017	1014	MS_4
1018	0	0
1019	1018	MS_1
1020	1018	MS_2
1021	1018	MS_3
1022	1018	MS_4
1023	0	0
1024	1023	MS_1
1025	1023	MS_2
1026	1023	MS_4
1027	0	0
1028	1027	MS_1
1029	1027	MS_4
1030	0	0
1032	1030	MS_4
1031	1030	MS_5
1033	1030	MS_6
1034	1030	MS_7
1035	0	0
1036	1035	MS_1
1037	1035	MS_2
1038	1035	MS_3
1040	1035	MS_4
1039	1035	MS_5
1041	0	0
1042	1041	MS_1
1043	1041	MS_3
1044	1041	MS_4
1045	0	0
1046	1045	MS_3
1048	1045	MS_4
1047	1045	MS_5
1049	1045	MS_7
1050	0	0
1051	1050	MS_1
1052	1050	MS_2
1053	1050	MS_3
1054	1050	MS_4
1055	0	0
1056	1055	MS_1
1057	1055	MS_2
1058	1055	MS_3
1060	1055	MS_4
1059	1055	MS_5
1061	0	0
1062	1061	MS_1
1063	1061	MS_2
1064	1061	MS_3
1066	1061	MS_4
1065	1061	MS_5
1067	0	0
1068	1067	MS_1
1069	1067	MS_2
1070	1067	MS_3
1072	1067	MS_4
1071	1067	MS_5
1073	0	0
1075	1073	MS_4
1074	1073	MS_5
1076	1073	MS_6
1077	1073	MS_7
1078	0	0
1079	1078	MS_1
1080	1078	MS_3
1081	1078	MS_4
1082	0	0
1083	1082	MS_1
1084	1082	MS_2
1085	1082	MS_3
1087	1082	MS_4
1086	1082	MS_5
1088	0	0
1090	1088	MS_4
1089	1088	MS_5
1091	1088	MS_6
1092	1088	MS_7
1093	0	0
1094	1093	MS_1
1095	1093	MS_3
1096	1093	MS_4
1097	0	0
1098	1097	MS_3
1100	1097	MS_4
1099	1097	MS_5
1101	1097	MS_6
1102	1097	MS_7
1103	0	0
1104	1103	MS_5
1105	1103	MS_6
1106	1103	MS_7
1107	0	0
1109	1107	MS_4
1108	1107	MS_5
1110	1107	MS_6
1111	1107	MS_7
1112	0	0
1114	1112	MS_4
1113	1112	MS_5
1115	1112	MS_6
1116	1112	MS_7
1117	0	0
1118	1117	MS_1
1119	1117	MS_2
1121	1117	MS_3
1120	1117	MS_4
MS_1	0	0
MS_2	0	0
MS_3	0	0
MS_4	0	0
MS_5	0	0
MS_6	0	0
MS_7	0	0
